name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
Allison Thomas,East Josephburgh,45713,593,45786,16,40,FALSE
Antonio Mueller,Port Amber,146691,667,30661,6,65,TRUE
Megan Hoffman,Lake Deborah,104668,698,16571,32,80,TRUE
Rebecca Roberts,South Paulmouth,62271,355,1849,16,50,FALSE
Sean Dalton,Greerstad,105880,501,48507,12,45,FALSE
Christopher Fleming,East Jill,107924,422,25720,2,45,FALSE
Justin Anderson,Adammouth,35209,458,3617,9,30,FALSE
Linda Ayala,Tracyshire,111183,666,5776,20,75,TRUE
Tina Meyer,South Amy,40745,713,7025,22,60,TRUE
Daniel Rivera,Kellyhaven,84948,786,37787,0,60,TRUE
Gregory Allen,North Felicia,116163,628,25993,7,65,TRUE
Joshua Campbell,Williehaven,106503,756,32903,2,75,TRUE
Matthew Flores,North Garyside,104085,846,1480,40,100,TRUE
Michael Ayala,Houstonborough,98522,850,47054,27,80,TRUE
Teresa Burgess,North Stephen,71467,639,3482,5,60,TRUE
Christopher King,New Lorraineview,64179,717,26430,28,60,TRUE
Jessica Smith,New Adamland,56772,346,46933,4,25,FALSE
Jonathan Roberts,Catherineport,117782,748,25996,25,90,TRUE
Amanda Moore,East Julie,123872,602,42552,9,60,TRUE
Stephen Sanford,Susantown,71180,444,9076,2,35,FALSE
Kyle Medina,West Jasonstad,61285,516,28043,32,35,FALSE
Clinton Jensen,Jamesburgh,64814,355,36969,29,35,FALSE
Angel Powers,Coreyshire,81876,798,22682,22,80,TRUE
Matthew Garcia,East Louismouth,47154,636,41392,19,40,FALSE
Brittany Knight,Susanburgh,118039,304,21526,15,55,FALSE
Michelle Davidson,Maryberg,114607,639,32454,29,65,TRUE
Raymond Tucker,East Debbieland,69321,587,10175,34,60,TRUE
Nicholas Sims,North Melissatown,89929,714,39668,13,65,TRUE
Kristen Stephens,Valdezberg,71441,674,26722,14,65,TRUE
Leah Vincent,South Walter,128548,392,27003,23,55,FALSE
Mary Charles,Port Willie,39508,756,11434,11,65,TRUE
Krystal Brennan,Lake Jessica,31220,667,3648,14,50,FALSE
Crystal Baker,North Elizabeth,90068,830,24674,24,85,TRUE
Jesse Williams,Dakotahaven,111416,580,49621,16,60,TRUE
Laura Bennett,Diazland,103792,829,17487,24,95,TRUE
Courtney Sullivan,Tommyfort,43104,306,33888,8,20,FALSE
David Robertson,Jasonburgh,39602,461,24738,38,25,FALSE
Bailey Hall,Jenniferfort,100468,790,32393,13,85,TRUE
Maria Jenkins,North David,57938,464,9829,40,45,FALSE
Stephanie Thomas,West Sandra,96307,829,27571,38,85,TRUE
Marcia Johns,Staceyborough,64760,759,40749,30,70,TRUE
Carolyn Greer,Port Brandi,47361,486,41842,32,25,FALSE
Nathaniel Cooper,Carlsonland,75745,535,25786,24,45,FALSE
Alan Mills,Serranoville,145456,481,32186,39,55,FALSE
Sherry Schmidt,North Timothyberg,39016,301,45470,27,25,FALSE
Jacqueline Williams,Perezfort,145247,690,23971,37,80,TRUE
Susan Hood,South Dennisfort,62018,538,6493,18,45,FALSE
Kimberly Scott,Lake Juliatown,78434,835,8722,33,90,TRUE
Matthew Watts,Robertville,67353,458,28923,37,35,FALSE
Scott Henderson,Cherylfurt,50676,508,28081,35,35,FALSE
Karen Wood,Kingport,87433,652,47235,25,55,FALSE
Sarah Hopkins,South Krista,139280,465,7571,13,60,TRUE
Rachel Owen,East Paultown,101200,393,10524,30,55,FALSE
Bobby Johnson,Ariasfurt,122214,833,19774,38,95,TRUE
Raymond Thompson,Gonzalesborough,69651,830,19743,12,80,TRUE
Kyle Black,New Gavin,110173,336,24575,15,55,FALSE
Vanessa Miller,Kimberlystad,135788,704,27571,37,80,TRUE
Adrian Padilla,New Justinside,115717,656,23772,17,70,TRUE
Victor Gibson,Andrewsview,99329,479,27681,32,45,FALSE
Benjamin Phillips,Port Williamview,31025,850,38676,16,65,TRUE
Tracy Hart,Port Matthew,117538,769,45668,29,85,TRUE
Shannon Olson,Carlosbury,137099,535,21691,26,55,FALSE
Kelli Smith,Johnland,102692,708,45151,21,70,TRUE
Timothy Woods,Jefferyshire,69240,575,12978,12,45,FALSE
Mr. Nicolas Salas II,Port John,116951,664,11223,6,70,TRUE
Blake Sosa,Austinside,43577,343,32607,23,25,FALSE
Katherine Galloway,Travishaven,145097,586,27075,14,70,TRUE
Bethany Fox,Mendozaside,47601,333,33930,22,25,FALSE
Michael Thompson,Lake Aprilmouth,64664,308,1774,13,50,FALSE
Brian Ward,Jacobview,45129,542,18655,30,25,FALSE
Grace White,Clarkstad,146616,673,27253,17,80,TRUE
Kenneth Krause,Port Cory,44029,576,16453,35,30,FALSE
James Thomas,South Linda,127310,480,28624,31,55,FALSE
Steven Mccoy,Kristenport,102512,556,37840,36,50,FALSE
Brett Martin,Port Jonathan,50374,398,30481,21,35,FALSE
Isaac Grant,Mauricechester,65697,424,24009,38,40,FALSE
Kenneth Banks,Port Justin,66930,632,45118,32,50,FALSE
Dr. Steve James,Stevenberg,109276,471,42981,21,50,FALSE
Logan Sullivan,North Fernandobury,57607,621,21766,18,55,FALSE
Lisa Foster,Normanstad,124058,833,30510,26,95,TRUE
Scott Martinez,Lake Johnathan,74942,381,14800,10,45,FALSE
Brendan Zuniga,Kelleytown,56685,706,35339,5,55,FALSE
Luke Miller,Parkerbury,120111,590,30042,40,65,TRUE
Joseph Jackson,Lake Michaelmouth,113130,787,31617,34,85,TRUE
Kimberly Taylor,New Carla,141792,745,35305,40,90,TRUE
Emily Reed,Port Christopher,64600,615,24971,26,55,FALSE
Eric Smith,West Justin,96244,847,1545,31,95,TRUE
Karen Smith,Yatesbury,94032,307,36927,23,45,FALSE
Stephen Kim,East Jennifer,62914,699,25796,14,60,TRUE
Jay Allen,Justinside,148664,575,28060,12,55,FALSE
Catherine Roberts,Williamsonview,149034,803,13306,20,100,TRUE
Anthony Nichols,North Julian,140900,428,47871,28,50,FALSE
Crystal Hernandez,Robinsonchester,36658,619,33662,23,40,FALSE
Rick Rivera,North Joseph,42097,701,5678,34,60,TRUE
Corey Skinner,Claytonville,113136,554,26218,28,55,FALSE
Zachary Gonzalez,New Elizabethborough,85518,784,26501,19,80,TRUE
Caitlin Chandler,West Timothyport,138704,503,24620,3,45,FALSE
Claudia Rodriguez,Nguyenburgh,66265,582,39318,7,45,FALSE
David Novak,Barkerberg,35778,680,6864,15,60,TRUE
Brandon Montgomery,North Michaelberg,30464,849,8038,8,65,TRUE
Eugene Grant DDS,Lindamouth,73719,497,2399,24,50,FALSE
Chad Roach,Mannside,131072,601,36568,31,65,TRUE
Cody Bailey,Hillside,47146,464,5513,33,35,FALSE
Edward Baker,Shawnhaven,113507,688,49080,11,70,TRUE
Lisa Diaz,West Jennifer,64335,696,13443,33,70,TRUE
Pamela Moore,Marcusmouth,51178,413,7308,33,45,FALSE
Amanda Pace,Port Anthony,127154,409,32809,12,50,FALSE
Kenneth Huff,Foxshire,87912,562,4216,23,55,FALSE
Mitchell Smith,Lake Travis,102309,381,31674,40,50,FALSE
Justin Hurley,Shortton,122493,572,35669,2,40,FALSE
Sandra Miller,New Colton,86057,536,35842,24,40,FALSE
Joseph Wright,New Kara,103519,725,49896,6,65,TRUE
Laura Craig,Andradeburgh,31267,484,37042,25,25,FALSE
Mary Ferguson,Mahoneymouth,44663,632,25361,26,40,FALSE
Jessica Swanson,New Amy,39862,684,37060,16,50,FALSE
Jesse Moyer,Lake Austinport,145750,316,34922,8,50,FALSE
Elizabeth Evans MD,Andrewview,120573,823,37459,36,90,TRUE
Brittney Johnson,Ericview,148479,675,39152,15,75,TRUE
Robert Davis,Carrollborough,49536,379,48420,20,25,FALSE
Carrie Petersen,New Dawnton,101511,690,6143,3,75,TRUE
Felicia Hobbs,Butlerville,34722,532,49999,38,25,FALSE
Madison Chen,West Alicemouth,139392,453,22419,32,55,FALSE
Brittany Nunez,Maddoxshire,78393,816,6903,14,95,TRUE
Richard Hernandez,Christophershire,106350,350,36923,25,50,FALSE
James Hamilton,Port Dennis,102420,502,32972,25,50,FALSE
Christina Gilbert,East Charles,49410,740,22195,36,60,TRUE
Michael Henderson,Jamesstad,86333,324,20976,10,50,FALSE
Lisa Branch MD,South Brady,46704,539,14086,23,30,FALSE
Nicholas Miller,East Stacyberg,35482,594,1900,21,55,FALSE
Ashley Cole,West Jasonside,70404,516,14356,34,45,FALSE
Deanna Webb,Lake Holly,77795,318,25681,37,45,FALSE
Kelsey Scott,West Jamesview,147831,354,31471,0,40,FALSE
Matthew Alvarado,Michelletown,134349,599,43559,24,65,TRUE
James Bray,West Toddside,142814,390,13217,12,60,TRUE
Judith House,North Johnhaven,35229,612,22860,31,40,FALSE
Christopher Reed,Michaelport,147823,541,33850,17,55,FALSE
Lori Johns,New Stacybury,76898,455,23399,25,45,FALSE
Anita Reyes,South John,57535,456,28948,19,35,FALSE
Erin Daniels,Lake Dillon,119399,507,10051,19,60,TRUE
Stephanie Browning,Forbesberg,62706,461,21807,4,30,FALSE
Tiffany Wilson,Maryberg,117416,330,21885,26,55,FALSE
Elizabeth Reese,Edwinborough,43473,409,9620,11,35,FALSE
William Jensen,New Jesse,76357,326,24544,5,40,FALSE
Karen Shaw,Josephstad,132251,488,26392,31,55,FALSE
Christopher Perez,Durantown,103385,576,28069,14,50,FALSE
Virginia Todd,East Saramouth,145885,801,46079,20,90,TRUE
Stacy Patterson,New Jillfurt,144650,620,26831,39,70,TRUE
Laura Herrera,New Danielmouth,83264,343,17103,33,50,FALSE
Victoria Williams,Blackton,111351,494,20082,28,55,FALSE
Eric Carey,Jacksonport,128235,355,46216,33,50,FALSE
Julie Lucas,Lake Vincentburgh,50257,438,26760,26,35,FALSE
Alexander Chavez,South Christopher,61029,631,46332,10,50,FALSE
Becky Wilson,Waltersland,143325,836,47352,24,90,TRUE
Vanessa Salazar,South Andrea,51299,344,12199,21,45,FALSE
Mary Hernandez,East Kayla,134842,352,28497,19,55,FALSE
Randy Griffin,North Rachel,136269,507,1231,39,60,TRUE
Alexandria Jimenez,Stephenstown,53206,805,16589,13,80,TRUE
Karen Ortiz,New Carolbury,145528,584,41616,40,65,TRUE
Samantha Williams,North Denise,84040,337,10527,2,40,FALSE
Sara Evans,North Danielburgh,33248,465,45046,18,25,FALSE
Melissa Larson,South Kara,53509,668,3348,5,60,TRUE
Erica Merritt,Port Ronaldside,126542,366,20191,30,55,FALSE
Michael Hill,Warrenborough,73540,359,8163,36,45,FALSE
Lori Benitez,Ramseyport,132548,737,40901,20,75,TRUE
Kenneth Hanson,New Anna,83964,832,48787,40,80,TRUE
Dr. Stephen Hall IV,North David,135150,776,41990,7,80,TRUE
Christine Gilbert,Gutierrezmouth,117806,658,37727,40,65,TRUE
Martin Vaughn,Kristyport,143254,607,34206,35,70,TRUE
Aaron Jennings,Randyshire,126345,329,12510,12,60,TRUE
George Chambers,Roblesberg,136266,793,11183,40,95,TRUE
Sean Huang,Bowerschester,62527,357,35149,19,35,FALSE
Megan Peters,East Barbaramouth,64970,662,5339,9,60,TRUE
Andre Terrell,New Catherine,50866,491,40006,7,30,FALSE
Nicole Thornton,Jenniferview,133202,723,6688,31,85,TRUE
Jacqueline Gallegos,Javierport,121917,479,8355,23,60,TRUE
Paula Gentry,Hunterfort,44168,812,11097,12,70,TRUE
John Russo,Kimberlyberg,80140,400,34826,8,35,FALSE
Andrew Hughes,North Larryton,144316,389,22842,29,55,FALSE
Ashley Miranda,Andrewport,35075,514,22029,12,25,FALSE
Donald Flores,Lambertview,142537,452,11321,17,60,TRUE
Tyler Castro,East Amyside,91694,626,18763,9,60,TRUE
Regina Andrews,North Larry,59154,646,36427,28,50,FALSE
Allen Berger,North Patrickland,56158,736,26684,11,60,TRUE
Stephanie Soto,Jensenport,137031,640,13985,34,70,TRUE
Thomas Duran,North Lisa,90332,779,7374,29,90,TRUE
Matthew Miranda,Hallbury,75830,447,41431,16,40,FALSE
Jenna Lyons,Kristinamouth,70001,764,32949,1,55,FALSE
Brian Mendoza,West Katrina,137549,430,34288,6,50,FALSE
Miguel Rodriguez,Port Kevinmouth,134247,710,39701,26,75,TRUE
David Moore,Reyesmouth,144206,513,46485,37,50,FALSE
William Bradley,Amybury,59831,477,44424,4,25,FALSE
Michelle Copeland,New Caitlinmouth,59219,399,30177,11,35,FALSE
Jared George,Murphyton,33101,392,15261,8,20,FALSE
Stephanie Fields,Port Dwayneberg,116511,763,35816,18,85,TRUE
Kenneth Gonzalez,Kevinport,55313,745,48041,22,70,TRUE
Lauren Carr DDS,Port Kelly,82227,678,36971,3,55,FALSE
Justin Irwin,Port Juliantown,73025,540,29292,37,35,FALSE
Evan Reyes,Grahamborough,66517,477,32121,8,30,FALSE
James Middleton,Mooreberg,143292,437,1760,4,50,FALSE
Brianna Dyer,Proctorberg,39099,386,9992,26,30,FALSE
Stephanie Dominguez,Hansonmouth,131361,821,28795,35,95,TRUE
Janice Perez,Jacobsshire,66585,810,48901,15,75,TRUE
Debra House,Arthurton,76025,794,47195,23,75,TRUE
John Vaughn,Lake Jessica,114080,586,31470,33,65,TRUE
Steve Davis,Mccoyland,96768,619,41176,3,45,FALSE
Kimberly Smith,Huntfort,82386,639,28591,22,60,TRUE
Thomas Curry,Bryanfort,119065,473,38542,3,40,FALSE
Dorothy Mclaughlin,West Toddberg,140580,817,6037,17,100,TRUE
Luis Hill,Alexisville,100282,478,39782,9,45,FALSE
Jacqueline Thompson,South Henry,73404,840,3168,21,90,TRUE
Dr. Linda Underwood,Mullinschester,33617,692,16594,28,50,FALSE
Carol Lane,Brianview,45118,418,4442,10,40,FALSE
John Alvarez,South Frances,144955,699,32102,16,80,TRUE
Seth Smith,Reyesmouth,64237,842,45752,2,65,TRUE
Joseph Gomez,Bishopview,53405,643,18716,17,55,FALSE
Dawn Silva,Mejiabury,106099,499,35075,21,50,FALSE
Wendy Edwards,Lake Alanland,64795,312,27951,6,30,FALSE
Melissa Bell,Johnathanton,35014,324,41592,5,20,FALSE
Kristopher Shannon,New Danielle,44208,422,6661,38,35,FALSE
Matthew Yoder,North Heather,108193,559,20304,29,55,FALSE
Angela Chavez,Kaylamouth,86959,563,11614,4,40,FALSE
Antonio Price,West Stephanieview,75309,482,29873,4,35,FALSE
Timothy Bishop Jr.,Rodriguezside,125491,741,15312,39,90,TRUE
Susan Baldwin,North Charlesshire,133078,556,30221,1,40,FALSE
Brittany Bowman,Lake Peterberg,71114,637,26646,36,55,FALSE
Michael Wise,Grahamland,87199,531,1216,24,55,FALSE
Sabrina Olson,Mathewport,109457,710,4617,40,85,TRUE
Maria Diaz DVM,Christophermouth,97033,596,43453,12,55,FALSE
Andrew Cruz,West Heather,45157,409,42328,22,25,FALSE
Dr. Jeffrey Lopez,East Anthonyshire,80488,544,33062,24,40,FALSE
Joshua Parker,Levytown,147899,337,23235,3,45,FALSE
Nathan Sullivan,Port Desiree,105574,835,31039,34,90,TRUE
Kerry Buckley,Lake Donaldtown,54914,782,41525,2,60,TRUE
Matthew Smith,West Loriville,63386,767,41057,10,70,TRUE
Amy Roth,South Brookebury,35817,364,14280,27,30,FALSE
Russell Rojas,Nguyenshire,122901,440,22075,13,55,FALSE
Leslie Rogers,West Donaldchester,87154,472,46632,23,40,FALSE
Jessica Frost,East Craigfurt,30221,461,2024,31,40,FALSE
Adam Howe,Robertfort,98146,429,14510,9,45,FALSE
Kelly Jenkins,New Heather,135710,484,48002,31,50,FALSE
Anita Serrano,Michaeltown,100575,541,13576,7,50,FALSE
Dr. Lisa Huffman,South Kaylee,120027,513,19115,3,45,FALSE
Robert Jennings,Jimenezburgh,124297,344,4540,23,60,TRUE
Jeffrey Cook,Williamston,127248,850,12526,10,100,TRUE
Karina Wilson,Lake Sean,126605,633,28463,12,70,TRUE
Stephanie Hall,West Jeremybury,117900,722,14104,24,80,TRUE
Angel Richards,South Dustinmouth,55825,482,26384,23,35,FALSE
Nathan Chen,Jamesberg,77739,332,46364,36,40,FALSE
Chad York,Barnesmouth,86531,525,20343,38,50,FALSE
Robert Cisneros,New Tara,39171,535,6667,26,35,FALSE
Katherine Forbes,Hoodview,117062,314,48842,27,45,FALSE
Danielle Murphy,New Sophia,73279,305,28379,2,30,FALSE
John Mack,South Amandafort,111678,400,30651,31,50,FALSE
Justin Smith,Dodsonberg,71145,667,20384,15,55,FALSE
Ann Castillo,Evanmouth,116951,324,30808,29,50,FALSE
Shelly Sullivan,Courtneytown,141151,372,26223,21,55,FALSE
Elizabeth Mullins,Port Gail,46334,643,49218,3,30,FALSE
Susan Cox,North Patrickmouth,124339,341,24958,23,55,FALSE
Justin Jones,East Tina,147970,544,36365,7,50,FALSE
Nancy Goodwin,Port Julie,69363,530,22001,22,40,FALSE
Kathy Henderson,North Nathanmouth,96469,797,33863,33,80,TRUE
Julie Patel,Shannonstad,70538,367,13343,29,45,FALSE
James White,North Fredville,117410,451,33527,9,45,FALSE
Kelly Burton,Robertside,83528,435,32057,22,45,FALSE
Oscar Smith,North Andrew,72753,537,35053,21,35,FALSE
Grant Lucas,Toddhaven,82743,755,31015,19,80,TRUE
Stephanie Parker,Jeremystad,121384,595,4101,9,70,TRUE
Jesus Jackson,Lake Amanda,68752,486,12492,9,40,FALSE
Bruce Chaney,South Jorge,102667,488,14445,35,55,FALSE
Mary Spence,West Shane,46683,466,35972,19,25,FALSE
Alexander Velazquez,South Sarah,55144,459,1281,34,50,FALSE
Erin Thornton,Kempshire,85108,450,38043,28,40,FALSE
Michael Wilson,South Christinabury,117153,756,24422,5,85,TRUE
Lee Lee,Port Shari,79695,584,13826,1,50,FALSE
Samuel Rhodes,New Prestonfort,118777,625,40529,38,65,TRUE
Amy Estrada,Hernandezchester,128059,678,26304,23,80,TRUE
Gregory Parker,Sawyerland,148332,520,48700,28,50,FALSE
Jennifer Ramos,Port Jessica,52810,734,48749,26,60,TRUE
Kevin Miller,West Thomas,110676,837,22981,4,85,TRUE
Leslie Bennett,South Danielleview,104593,724,12461,35,80,TRUE
Keith Melendez,East Marisa,69446,596,37298,31,50,FALSE
Ronald Davenport,Troymouth,83225,529,2758,0,40,FALSE
Eric Davidson,Martinezport,101819,727,12755,31,80,TRUE
Maria Johnson,Trevorland,139278,670,39080,30,75,TRUE
Sheena Burton,Mccannville,30053,682,34588,36,50,FALSE
David Perkins,West Steven,69829,438,24421,10,40,FALSE
Isaac Fields,Brandonport,67606,842,42873,4,65,TRUE
Pamela White,New Karenside,57549,630,21723,19,55,FALSE
Michael Cox,Madelinetown,86346,440,34958,18,40,FALSE
John Peterson,North Jeffery,132990,815,15490,12,95,TRUE
Kristin Norris,South Stevenland,106019,419,9600,1,45,FALSE
Eric Cox,Prestonhaven,109516,650,12285,19,70,TRUE
Robert Walker,Lake Jeremy,115813,428,14752,8,50,FALSE
Mrs. Pamela Rodriguez,Port Toddchester,72237,343,13868,6,40,FALSE
Matthew Watkins,Wilsonview,90946,344,5341,19,55,FALSE
Nicole Patton,New Rachel,87905,489,44948,22,40,FALSE
Charles Francis,Stacystad,87954,660,11522,32,65,TRUE
Lisa Wagner,North Loritown,118555,841,15221,12,95,TRUE
Carolyn Webster,Lake Coreyborough,58010,816,47383,30,75,TRUE
Kevin Gonzales,East Maryfurt,97000,734,15042,32,75,TRUE
Brian Rollins,South Danielberg,92021,807,24674,18,85,TRUE
Amanda Murphy,South Justinport,134036,754,15802,35,90,TRUE
William Patterson,Port Leahstad,148119,483,1837,31,60,TRUE
Jennifer Mills,North Douglasfurt,134336,404,49590,10,50,FALSE
William Morgan,Martinezchester,126463,811,19252,37,95,TRUE
Nicole Owen,Kellyfurt,52241,796,34516,17,70,TRUE
Jesse Martinez,Crawfordberg,116356,330,7527,3,50,FALSE
Kathleen Johnson,South Cassandra,41114,634,11009,19,45,FALSE
Anne Jones,Sparksborough,67196,600,44390,31,50,FALSE
Dennis Cooper PhD,Port Anthonychester,97561,421,26141,28,45,FALSE
James Stevens,East Angelaport,117012,468,33209,27,50,FALSE
Mike Freeman,New Emilyside,112960,781,32189,35,85,TRUE
Katie Myers,Garzafurt,111167,661,19640,20,70,TRUE
Kevin Anderson,Michaelshire,73933,327,41970,21,35,FALSE
Jeffrey Braun,Bellbury,42240,553,16376,19,30,FALSE
Susan Jones,Dannyburgh,137272,320,36285,20,50,FALSE
Matthew Henderson,Adamsfort,128453,322,21743,24,55,FALSE
Erica Davis,Garciaborough,60784,644,33553,32,50,FALSE
Mary Jackson,Michaelchester,118184,506,33568,40,50,FALSE
Rachel Pittman,West Joseph,70687,604,38586,25,50,FALSE
Lori Rubio,New Matthewland,59444,843,32147,27,75,TRUE
Robert Pearson,Williamport,135717,743,44480,34,85,TRUE
Jason King,Powersside,56100,484,2219,40,50,FALSE
Shari Ray,Lake Suzanne,49313,778,18559,40,65,TRUE
Lisa Hammond,Michaelton,33201,834,14149,23,65,TRUE
David Francis,Meganchester,36057,626,5222,40,50,FALSE
Jason Colon,West Gloria,62092,541,27598,15,35,FALSE
Corey Sanchez,Stevenside,92277,746,28657,2,70,TRUE
Dominic Johnson,Donnaburgh,110120,343,48348,31,45,FALSE
Amy Mosley,Carolynland,141376,716,24818,5,75,TRUE
Ryan Cameron,North Ashley,130727,812,8906,33,100,TRUE
Lauren Hampton,Tylerland,39545,543,40309,7,20,FALSE
Emily Collier,Shafferbury,89692,733,15287,9,70,TRUE
Daniel Hill,Kingshire,84321,357,33136,34,45,FALSE
Travis Stewart,Wellsbury,146147,584,10496,23,75,TRUE
Jacob Parker,Port Joditon,112544,545,17579,35,55,FALSE
Mark Haynes,New Michellemouth,105454,697,1515,25,85,TRUE
Tabitha Turner,West Jason,55485,464,29760,40,35,FALSE
Robert Newman,West Michellefort,124155,782,49296,26,85,TRUE
Faith Henderson,Port Ethanview,121272,818,5349,22,100,TRUE
Nicholas Kelley,Shawntown,80328,353,43033,11,40,FALSE
Rachel Taylor,Gonzalezport,94799,621,38736,5,50,FALSE
David Reeves,Port Brooke,82383,720,21932,28,70,TRUE
Nicholas Green,Laurenborough,61979,386,28164,23,35,FALSE
Shawn Duffy,North Stacy,49342,534,6831,29,35,FALSE
Michael Jackson,Williamsonview,115990,452,6836,23,60,TRUE
Keith Smith,Ayalamouth,120128,806,8766,14,100,TRUE
Cheryl Atkins,Keithfort,30726,691,9532,27,55,FALSE
Lindsay Carney,Jessicaborough,147002,728,12820,26,85,TRUE
Alyssa Cherry,New Shannon,128430,554,25224,37,55,FALSE
Judith Smith,Port Marcus,142779,707,46013,13,75,TRUE
Michelle Fitzgerald,Charlesside,130931,360,4415,21,60,TRUE
Kaitlin Gomez,North Jonfurt,146059,609,26866,23,70,TRUE
Steven Williams,West Geoffrey,43970,804,23228,29,65,TRUE
Evan Moreno,West Darryl,132029,345,9380,31,60,TRUE
Sandy Adkins,Campbellview,85724,570,34880,20,40,FALSE
Christopher Doyle,Gallagherberg,58683,750,4487,12,85,TRUE
Michael Graham,Williamsstad,53053,796,30999,31,70,TRUE
Nathan Hernandez,Claytonport,135396,484,12029,32,60,TRUE
Kristine Alvarado,New Whitney,121214,304,35472,36,50,FALSE
Thomas Sanchez,Rhodesmouth,97889,326,19630,7,45,FALSE
Kevin Bean,Ericland,90889,771,47380,30,75,TRUE
Tyler Wheeler,West Taramouth,36582,632,48942,36,40,FALSE
Scott Solis,Marcuston,103060,372,36858,38,50,FALSE
James Thompson,Davisborough,62662,466,26460,25,35,FALSE
Paul Valdez,West Travischester,141193,617,45889,38,65,TRUE
Max Collier,South Sean,45906,697,32223,17,50,FALSE
Jenny Avila,Christinachester,89829,736,7091,2,70,TRUE
Valerie Rhodes,South Alison,47477,837,6503,18,75,TRUE
Bob Solis,Edgarberg,135043,607,17295,33,70,TRUE
Keith Arnold,New Danielchester,90901,722,7192,29,80,TRUE
Laura King,Brendahaven,117500,316,8466,29,60,TRUE
Clarence Long,South Nancyport,99616,621,39483,29,60,TRUE
Joanna Morton,Tammyburgh,103259,516,13129,5,50,FALSE
Lindsey Savage,South Amandatown,108047,704,8646,0,70,TRUE
John Holt,Turnerstad,71588,704,20834,5,60,TRUE
Adrian Rodriguez,Lake Taratown,128992,514,32530,9,45,FALSE
Jessica Garrett,North Kevin,146840,774,10710,30,95,TRUE
Bruce Barrera,Maynardfort,88008,320,30459,37,45,FALSE
Edward Gallegos,Williamstown,110301,405,42314,27,50,FALSE
Sarah Mclaughlin,Benjaminfurt,136824,797,34643,37,85,TRUE
Taylor Stein,Hallton,124276,840,2246,27,100,TRUE
Kristen Adams,Smallville,146918,806,41809,22,90,TRUE
Jeffrey Martin,South Maurice,96162,537,34268,14,45,FALSE
Melinda Dorsey,Andersonport,85933,699,28319,23,70,TRUE
Rebecca Richard,West Hannah,138864,388,44716,30,50,FALSE
Curtis Obrien,Port Robertfort,148863,610,16382,13,70,TRUE
Yvonne Howard,Michaelburgh,101810,478,33995,2,40,FALSE
Gail Wilson,North Anna,88446,798,17896,21,85,TRUE
Patricia Carrillo,Paulahaven,147598,406,47294,3,40,FALSE
Jessica Bryant,North Kimberlyville,50861,342,34246,6,30,FALSE
Bruce Harris,Ericport,127472,752,34154,31,85,TRUE
Annette Holland,Loriville,142917,506,29777,26,55,FALSE
Adriana Davenport,Petersonhaven,92216,475,6585,17,55,FALSE
Paul Ward,East Karen,88991,842,28637,14,85,TRUE
Jeffrey Hardin,Cranehaven,63972,670,2950,28,75,TRUE
Adam Drake,North Matthewfurt,128536,468,29447,3,45,FALSE
Andrew Nielsen,New Brian,62406,832,20380,26,80,TRUE
Michael Spencer,Jennifermouth,140082,652,1517,17,75,TRUE
Lisa Thomas,Griffinborough,113579,752,46709,22,80,TRUE
Rachael Sullivan,West Christopher,66347,850,22921,24,80,TRUE
Natalie Martinez,Jasonhaven,130376,619,35166,21,65,TRUE
Caitlin Johnson,Johnport,131931,732,34113,7,70,TRUE
Sarah Green,Davidville,98327,759,20527,36,85,TRUE
Jody Bird,West Kevin,93517,443,47815,24,40,FALSE
Samantha Ward,East Jenniferchester,112149,383,7045,3,50,FALSE
Carlos Lewis,West Ericafurt,61358,831,26872,16,75,TRUE
Mallory Barajas,Dennischester,65992,466,10459,32,45,FALSE
Michael Anderson,Lake Jasonfort,87654,333,49922,10,40,FALSE
Jaclyn Crane,Rodriguezstad,40155,596,3639,33,55,FALSE
Jacob Ritter,Kellytown,123525,446,10315,37,60,TRUE
Timothy Torres,Jasonfort,67450,302,9016,35,45,FALSE
Seth Butler,Arielmouth,60735,686,32144,38,60,TRUE
Charles Fields,Contrerasberg,65614,633,6853,39,60,TRUE
Jennifer Hall,Morganton,74020,753,49228,17,70,TRUE
Sharon Mann,Annville,71904,387,13610,39,45,FALSE
Nina Bernard,Port Thomas,147050,319,8882,34,60,TRUE
Albert Buchanan,Port Janice,100798,754,6547,34,95,TRUE
Jennifer Williams,West Samuelchester,40561,324,35596,20,25,FALSE
Brandon Petty,West Douglas,48136,561,6873,9,30,FALSE
Jason Jackson,Howardton,49769,605,26555,6,35,FALSE
Jason Nguyen,Davidville,60311,353,14274,15,45,FALSE
Laurie Vasquez,Averyview,80205,362,21862,29,45,FALSE
Ana Johnson,North Joseph,120957,403,17142,35,55,FALSE
Beth Carroll,Millerhaven,50028,508,10330,23,45,FALSE
Carol Sanchez,Aliside,122591,762,3738,0,80,TRUE
Tonya Oliver,North Brian,58043,793,18911,38,75,TRUE
Michael Kidd,New Mary,38418,588,3980,10,50,FALSE
Kristine Turner,Haleberg,84377,586,29309,13,60,TRUE
Tina Flores,Cynthiamouth,83424,579,17117,20,50,FALSE
Joe Greene,Lake Dennistown,73369,787,1280,0,70,TRUE
Jennifer Woodard,Farmerside,101121,383,43539,4,35,FALSE
Stephanie Cabrera,Chambersstad,91069,685,40407,22,65,TRUE
Ryan Cain,North Stevenborough,84496,755,1613,14,90,TRUE
